ID,RVL,ALG,PCAD,ECAD,BIM,LIVR,QAQC
12-056_50_des_Seigneurs_Mtl,0,0,0,0,0,0,0
14-155_Carriere_Prehistorique_Mt-Royal,0,3.75,0,0,0,1,0
14-230_CHU_Ste-Justine,5.5,23.0833,0,0,0,0,0.75
14-242_Site_Le_Ber,0,0,0,2.25,0,0,0
14-325_Moulin_Beauport,0,0,0,0,0,0,0
14-332_PAC_monitoring_multimedia,0,10.75,0,0,0,0,0
14-341_Fort_Ville-Marie_fin_fouilles,5,26.3333,0,0,0,0,0
14-344_Modelisation_BIM-Galerie_de_la_Capital,0,2.75,0,0,161.8333,0,5
14-346_Jetee_Alexandra,0,87.3333,0,0,0,0,3
14-288_Fronton_Ouest_Parlement_Qc,0,0,0,0,0,0,0
15-353_Statue,7.25,0,0,0,5.5,0,0
15-364_Theatre_de_Longueuil,1.5,0,0,7.5833,3.5,0,0
15-355_Centre_Dollard-Cormier,47.75,4.25,0,0,0,0,2.25
15-384_eglise_Mascouche,5.25,6,0,0,0,0,0.3333
14-265_Place_Ste-Foy,0,0,0,0,0,0,0
15-312_Horse_Palace,2,5.5833,0,0,0,5.9167,0
15-378_Releve_36_immeubles-plan_2D,20.3333,14.25,0,0,9.3333,0,2.3333
15-378_Releve_36_immeubles-plan_2D,27.3333,30.4167,0,0,8.4167,0,12.6667
15-378_Releve_36_immeubles-plan_2D,10.5833,8.3333,0,0,7.9167,0,0
15-378_Releve_36_immeubles-plan_2D,7.3333,13.5,0,0,6.5,0,4.6667
15-378_Releve_36_immeubles-plan_2D,26.5833,16.8333,0,0,1.3333,0,0
15-378_Releve_36_immeubles-plan_2D,22.4167,35.3333,0,0.5,42.1167,1.5833,16
15-378_Releve_36_immeubles-plan_2D,12.6666,23.1667,0,0,9.5833,2,0.75
15-378_Releve_36_immeubles-plan_2D,16.0833,25.8333,0,0,7.5,0,21.6667
15-378_Releve_36_immeubles-plan_2D,18.5,15.9167,0,0,14.4167,0,7.8333
15-378_Releve_36_immeubles-plan_2D,12.25,40.4167,0,0,5.9167,1,8.4167
15-378_Releve_36_immeubles-plan_2D,24.25,27.5,0,0,14.1667,0.75,12
15-378_Releve_36_immeubles-plan_2D,16.75,41.1667,0,0,12.6667,0,20.75
15-378_Releve_36_immeubles-plan_2D,9.75,8.25,0,0,7.0833,1,3.5833
15-378_Releve_36_immeubles-plan_2D,18.5,25.9167,0,0,13.0833,0,9.25
15-378_Releve_36_immeubles-plan_2D,12.6667,12.1667,0,0,0,0.5833,10.25
15-378_Releve_36_immeubles-plan_2D,5,8,0,0,13.5,0,8.6667
15-378_Releve_36_immeubles-plan_2D,7.6667,8.25,0,0,11.6667,0,4.1667
15-378_Releve_36_immeubles-plan_2D,15.25,1.75,0,0,10.5,0,3.8333
15-378_Releve_36_immeubles-plan_2D,5.25,16.3333,0,0,47.9167,0,23
15-378_Releve_36_immeubles-plan_2D,5.5,6.8333,0,0,0,0,9.25
15-378_Releve_36_immeubles-plan_2D,20.4167,65.75,0,0,45.25,0,10.1667
15-378_Releve_36_immeubles-plan_2D,5.25,4.4167,0,5.8333,6.3333,0,0
15-378_Releve_36_immeubles-plan_2D,2.5,5.25,0,0,0.5,0,4.0833
15-378_Releve_36_immeubles-plan_2D,2,13.6667,0,0,22.8,0,3.25
15-378_Releve_36_immeubles-plan_2D,4,4,0,0,3.5,0,7.8333
15-378_Releve_36_immeubles-plan_2D,9,10,0,0,9.5,0,8.6667
15-378_Releve_36_immeubles-plan_2D,14.6667,10,0,0,14.8333,0,9.9167
15-378_Releve_36_immeubles-plan_2D,16.1667,10.75,0,0,15.75,0,1.0833
15-378_Releve_36_immeubles-plan_2D,12.25,70.0833,0,0,20.95,0,10.25
15-378_Releve_36_immeubles-plan_2D,78.0833,129.5,0,0,191.6667,3.25,8.1667
15-378_Releve_36_immeubles-plan_2D,30.75,68.4167,0,0,20.3333,1.5,12.75
15-378_Releve_36_immeubles-plan_2D,15.4167,12.0833,0,0,14.25,0,5.3333
15-378_Releve_36_immeubles-plan_2D,16.5833,18.1667,0,0,0,3,14.25
15-378_Releve_36_immeubles-plan_2D,17.8334,8.3333,0,0,27.4167,0,9.4167
15-391_1710_Saint-Denis,24.25,17.8333,0,24.75,50.0833,0,0.8333
15-396_Reservoir,0,0.75,0,0,4,0,0
15-397_Transfert_FLS-Reservoir,0,0,0,0,0,0,0
15-349_eglise_St-Henri,17,36.75,0,0,2.1667,14.6667,0.75
15-408_Colonel_By_T5,24,9.5,0,0,0,0,0.5
15-414_Ursulines_2015,102.1667,46.8333,0,0,0,1.25,0.5
15-257_Molson,4.5,2,0,0,0,0,0.8333
