ID,RVL,ALG,PCAD,ECAD,BIM,LIVR,QAQC
16-644_Turcot_CAD,0,3,3.9167,0,0,4.6667,0
16-708_Turcot_Arkeos,4.25,15.75,7.9167,0,44.9167,0,6.4167
17-754_Ogilvy,76,139.75,3.4167,350.4167,0,0.1667,225.6667
17-790_Clocher_Olier,5.5,1.75,4.5833,16.9167,0,0.5,9.0833
17-814_22_Pont_Viau,51.1333,27.8333,1.25,1.1667,0,0,2.5
17-827_Arkeos_Turcot_Mai17,15.2333,15.75,58.25,0,1.75,0,1.25
17-847_Coop_Les_Colonnes,3.25,2,7,4.4167,0,0,1.25
17-858_Yvon_BGLA_Condo,2,6.3333,4.75,0,2.6667,0,2
17-888_CIUSSS_2_batiments,15.1667,8.8333,36.8333,95.6667,0,0,9.3333
17-888_CIUSSS_2_batiments,66.25,81.6667,144.5833,55.6667,0,0.6667,33.0833
17-909_Pointe-à-Calliere_Multimedia,13.5833,13.25,67.75,0,107.5,3.0833,19.5
17-910_College_Notre-Dame,11.8333,7.0833,1,0,0,0,8.5833
17-912_iSCAN_PMI_Pointe-Noire,7.25,5.25,5.5,0,0,0,0
17-948_Fondation_Bon_Depart,5.6667,1.5833,0.8333,0,56.5833,7.5833,13.0833
17-956_Oratoire_St-Joseph,36.75,42.8333,18.9167,0,0,0,18.75
17-960_Rodier_Phase_2,5.5,3.4167,3.25,29.0833,0,0.8333,7
17-995_5312_Boul_Levesque_Est-Laval,4.1667,3.6667,21.1667,16.0833,0,2.5,1.75
18-1023_Prison_de_bordeaux,44.25,31,146.5833,0,0,1.5,26.6667
18-1025_CSDM_ecole_Espace_Jeunesse,0,0,4,35.3333,0,0,5.5
18-1047_Polytechnique_toiture,23,7,2.75,0,15.8333,0.5833,2.75
18-1068_Abbaye_Oka,96.25,98.4167,15.75,0,0,0.75,51.25
18-1103_Theatre_Dame-cœur,11.5,19.25,16.5,0,0,1,1.1667
18-1111_Vitrerie_Sherbrooke_escalier,3.75,5.5,3.5833,0,44.5833,0.1667,30.9167
18-1115_ecole_Ste-Bibiane,5.5,12.8333,3.9167,3.3333,42,0,5.5
18-1132_Hopital_Juif-Pavillon_Hope,76.0833,64.8333,43,22,124.25,0.5,48.1667
18-1135_ecole_Ste-Claire,3.25,1.25,1.1667,46.75,0,0.8333,31.75
